City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
98,Mar Del Plata,AR,2023-01-05 01:04:19,-38.0023,-57.5575,68.29,58,0,11.05
99,Klaksvik,FO,2023-01-05 01:06:33,62.2266,-6.589,34.72,77,22,1.54
100,Castro,BR,2023-01-05 01:01:50,-24.7911,-50.0119,55.27,96,100,6.38
101,Ostrovnoy,RU,2023-01-05 01:06:34,68.0531,39.5131,23.72,73,100,24.47
102,Burley,US,2023-01-05 01:06:36,42.5357,-113.7928,33.3,74,100,6.98
103,Gogrial,SS,2023-01-05 01:06:37,8.5332,28.1004,73.81,29,2,7.63
104,Ankazoabo,MG,2023-01-05 01:06:37,-22.2833,44.5167,67.73,92,100,1.81
105,Batticaloa,LK,2023-01-05 01:06:38,7.7102,81.6924,76.51,83,80,7.34
106,Baturaja,ID,2023-01-05 01:06:39,-4.1333,104.1667,76.91,84,98,1.79
107,Ponta Do Sol,PT,2023-01-05 01:06:40,32.6667,-17.1,62.71,78,3,3.98
108,Port Alfred,ZA,2023-01-05 01:06:40,-33.5906,26.891,64.18,91,100,1.99
109,Caramay,PH,2023-01-05 01:06:41,10.1815,119.236,78.39,87,99,5.95
110,Nalut,LY,2023-01-05 01:06:42,30.3333,10.85,47.8,55,5,9.37
111,Isla Mujeres,MX,2023-01-05 01:06:42,21.2311,-86.731,78.85,81,10,8.23
112,Zhigansk,RU,2023-01-05 01:06:43,66.7697,123.3711,-18.62,97,100,7.11
113,Cadiz,ES,2023-01-05 01:06:43,36.5,-5.75,50.76,92,0,4.38
114,Saskylakh,RU,2023-01-05 01:06:44,71.9167,114.0833,-49.38,100,93,1.1
115,Zabolotovka,RU,2023-01-05 01:06:45,50.2737,39.3147,32.47,73,100,9.51
116,Laguna,US,2023-01-05 01:02:54,38.421,-121.4238,64.18,67,20,33.38
117,Plettenberg Bay,ZA,2023-01-05 01:06:46,-34.0527,23.3716,60.8,87,100,6.87
118,Buala,SB,2023-01-05 01:06:46,-8.145,159.5921,82.02,84,100,11.16
119,Kahului,US,2023-01-05 01:06:47,20.8947,-156.47,78.96,88,40,16.11
120,Curvelo,BR,2023-01-05 01:06:48,-18.7564,-44.4308,71.11,86,100,3.06
121,Ejura,GH,2023-01-05 01:06:48,7.3856,-1.3562,75.76,26,30,2.75
122,Praia,CV,2023-01-05 01:06:49,14.9215,-23.5087,73.94,78,100,18.41
123,San Isidro,PE,2023-01-05 01:06:50,-12.1167,-77.05,76.01,68,0,6.91
124,Farmington,US,2023-01-05 01:06:51,36.7281,-108.2187,32.77,86,0,4.61
125,Coquimbo,CL,2023-01-05 01:06:51,-29.9533,-71.3436,62.33,88,75,5.75
126,Barrow,US,2023-01-05 01:06:52,71.2906,-156.7887,3.22,92,100,17.27
127,Bauchi,NG,2023-01-05 01:06:52,10.5,10.0,60.33,46,76,3.89
128,Flin Flon,CA,2023-01-05 01:06:53,54.7682,-101.865,14.14,96,87,5.37
129,Fairbanks,US,2023-01-05 01:05:32,64.8378,-147.7164,0.09,82,0,0.0
130,Margate,GB,2023-01-05 01:06:54,51.3813,1.3862,51.12,86,100,5.01
131,Gamba,GA,2023-01-05 01:06:55,-2.65,10.0,74.14,94,100,4.18
132,Quatre Cocos,MU,2023-01-05 01:06:55,-20.2078,57.7625,76.08,78,43,11.63
133,Deep River,CA,2023-01-05 01:02:24,46.1001,-77.4995,31.95,90,100,9.8
134,Wajid,SO,2023-01-05 01:06:56,3.8093,43.2471,71.42,74,99,12.64
135,Zyryanka,RU,2023-01-05 01:06:57,65.75,150.85,-48.73,100,74,2.24
136,Barao De Melgaco,BR,2023-01-05 01:04:06,-16.1944,-55.9675,72.25,97,100,1.3
137,Faanui,PF,2023-01-05 01:06:58,-16.4833,-151.75,81.5,73,100,14.85
138,Saint-Joseph,RE,2023-01-05 01:06:58,-21.3667,55.6167,78.48,79,33,9.8
139,Vestmannaeyjar,IS,2023-01-05 01:07:29,63.4427,-20.2734,27.81,77,96,15.12
140,Gat,IL,2023-01-05 01:07:30,31.61,34.7642,56.39,78,18,4.09
141,Kapaa,US,2023-01-05 01:07:30,22.0752,-159.319,78.78,92,100,8.05
142,Kaitangata,NZ,2023-01-05 01:07:31,-46.2817,169.8464,66.42,72,100,4.79
143,Belyy Yar,RU,2023-01-05 01:07:32,53.6039,91.3903,-2.31,84,100,2.24
144,Kruisfontein,ZA,2023-01-05 01:07:33,-34.0033,24.7314,59.88,89,100,9.1
145,Wukari,NG,2023-01-05 01:07:33,7.85,9.7833,72.5,32,96,5.64
146,Mattru,SL,2023-01-05 01:07:34,7.6244,-11.8332,70.11,92,0,2.3
147,Cabo San Lucas,MX,2023-01-05 01:02:52,22.8909,-109.9124,73.51,68,0,3.0
148,Mackay,AU,2023-01-05 01:07:35,-21.15,149.2,93.69,65,25,10.16
149,Severo-Kurilsk,RU,2023-01-05 01:07:36,50.6789,156.125,23.52,66,81,7.65
150,Dwarka,IN,2023-01-05 01:07:36,22.2394,68.9678,64.2,45,2,20.36
151,Hobart,AU,2023-01-05 01:07:37,-42.8794,147.3294,63.27,85,75,12.66
152,Kailua,US,2023-01-05 01:07:38,21.4022,-157.7394,76.98,88,100,8.05
153,Flinders,AU,2023-01-05 01:07:38,-34.5833,150.8552,71.19,72,86,10.0
154,Hami,CN,2023-01-05 01:07:39,42.8,93.45,18.0,59,15,8.08
155,Pringsewu,ID,2023-01-05 01:07:40,-5.3582,104.9744,77.49,83,100,1.05
156,Tottori,JP,2023-01-05 01:05:29,35.5,134.2333,39.02,95,100,6.33
157,Sao Domingos,BR,2023-01-05 01:07:40,-13.3983,-46.3183,70.16,92,100,1.88
158,Port Elizabeth,ZA,2023-01-05 01:07:41,-33.918,25.5701,63.32,95,100,4.0
159,Clyde River,CA,2023-01-05 01:07:42,70.4692,-68.5914,-17.48,98,100,1.1
160,Petropavlovsk-Kamchatskiy,RU,2023-01-05 01:07:43,53.0452,158.6483,12.79,73,0,4.47
161,Qaanaaq,GL,2023-01-05 01:06:33,77.484,-69.3632,-18.69,85,100,5.73
162,Tuktoyaktuk,CA,2023-01-05 01:03:24,69.4541,-133.0374,0.66,97,98,7.07
163,Poum,NC,2023-01-05 01:07:44,-20.2333,164.0167,78.96,71,20,3.0
164,Berlevag,NO,2023-01-05 01:03:15,70.8578,29.0864,26.55,80,100,4.61
165,Oriximina,BR,2023-01-05 01:07:45,-1.7656,-55.8661,73.71,94,99,3.33
166,Whitehorse,CA,2023-01-05 01:07:46,60.7161,-135.0538,16.81,79,99,15.01
167,Bandarbeyla,SO,2023-01-05 01:07:47,9.4942,50.8122,74.68,77,100,14.47
168,Viedma,AR,2023-01-05 01:06:45,-40.8135,-62.9967,73.83,36,100,8.25
169,Viransehir,TR,2023-01-05 01:07:48,37.2353,39.7631,41.7,30,2,3.91
170,Khandbari,NP,2023-01-05 01:07:49,27.3747,87.2039,46.78,52,0,3.89
171,Zverinogolovskoye,RU,2023-01-05 01:07:49,54.4586,64.8542,-0.08,100,99,3.38
172,Taltal,CL,2023-01-05 01:07:50,-25.4,-70.4833,66.2,81,0,2.15
173,Pisco,PE,2023-01-05 01:05:50,-13.7,-76.2167,69.85,88,0,3.44
174,Loandjili,CG,2023-01-05 01:07:52,-4.7561,11.8578,77.47,86,89,5.7
175,Kandrian,PG,2023-01-05 01:07:53,-6.2167,149.55,85.84,69,100,11.56
176,Russell,US,2023-01-05 01:07:53,32.3502,-85.1999,60.4,87,0,0.0
177,Atuona,PF,2023-01-05 01:07:54,-9.8,-139.0333,78.98,71,0,20.02
178,Shelburne,CA,2023-01-05 01:07:55,44.0787,-80.2041,34.12,100,100,9.73
179,Bahia De Caraquez,EC,2023-01-05 01:07:55,-0.6,-80.4167,77.18,83,23,5.59
180,Hithadhoo,MV,2023-01-05 01:07:42,-0.6,73.0833,81.23,63,25,10.38
181,Eresos,GR,2023-01-05 01:07:56,39.1667,25.9333,48.88,77,12,11.01
182,Leningradskiy,RU,2023-01-05 01:07:57,69.3833,178.4167,-17.54,96,100,10.09
183,Butaritari,KI,2023-01-05 01:07:57,3.0707,172.7902,81.14,72,100,16.37
184,Saint George,US,2023-01-05 01:08:28,37.1041,-113.5841,45.43,82,0,3.44
185,Aksarka,RU,2023-01-05 01:08:28,66.5606,67.7975,-4.25,97,100,19.73
186,Vila Franca Do Campo,PT,2023-01-05 01:08:29,37.7167,-25.4333,61.21,94,100,13.78
187,Hetauda,NP,2023-01-05 01:08:30,27.4284,85.0322,49.35,76,0,4.14
188,Hambantota,LK,2023-01-05 01:08:31,6.1241,81.1185,73.74,94,20,5.75
189,Veraval,IN,2023-01-05 01:08:31,20.9,70.3667,61.77,39,0,17.0
190,Provideniya,RU,2023-01-05 01:08:32,64.3833,-173.3,1.8,94,100,7.43
191,Rybinsk,RU,2023-01-05 01:08:33,58.0446,38.8426,7.81,97,96,6.17
192,Nouadhibou,MR,2023-01-05 01:08:34,20.931,-17.0347,68.72,48,78,14.14
193,Airai,TL,2023-01-05 01:08:34,-8.9266,125.4092,70.52,64,93,4.63
194,Tessalit,ML,2023-01-05 01:08:35,20.1986,1.0114,61.11,25,98,10.67
195,Kijang,KR,2023-01-05 01:08:36,35.2442,129.2139,39.72,45,8,6.58
196,Salme,NP,2023-01-05 01:08:36,28.0369,85.0942,34.09,25,0,7.18
197,Linxia,CN,2023-01-05 01:08:37,35.6003,103.2064,28.58,45,100,0.81
198,Siuna,NI,2023-01-05 01:08:38,13.7332,-84.7773,69.8,94,0,3.62
199,Kudahuvadhoo,MV,2023-01-05 01:08:38,2.6708,72.8944,82.04,61,40,12.55
200,Masuguru,TZ,2023-01-05 01:08:39,-11.3667,38.4167,72.36,89,93,3.51
201,Bambous Virieux,MU,2023-01-05 01:08:40,-20.3428,57.7575,76.21,78,52,12.19
202,Brewster,US,2023-01-05 01:08:40,41.3973,-73.6171,56.53,94,100,6.91
203,Prince Rupert,CA,2023-01-05 01:08:41,54.3161,-130.3201,36.82,83,100,6.55
204,Victoria,HK,2023-01-05 01:05:53,22.2855,114.1577,67.19,81,100,4.0
205,Port Blair,IN,2023-01-05 01:08:42,11.6667,92.75,79.38,78,17,10.6
206,Benoy,TD,2023-01-05 01:08:43,8.9833,16.3199,73.02,36,95,5.99
207,Santarem,BR,2023-01-05 01:05:57,-2.4431,-54.7083,78.93,94,40,2.3
208,Luderitz,NA,2023-01-05 01:08:44,-26.6481,15.1594,62.8,80,0,20.4
209,Toora-Khem,RU,2023-01-05 01:08:44,52.4675,96.11,-9.74,100,100,0.94
210,Los Lunas,US,2023-01-05 01:08:45,34.8062,-106.7334,40.46,52,6,1.01
211,Ucluelet,CA,2023-01-05 01:08:45,48.9329,-125.5528,45.7,70,100,16.67
212,Waipawa,NZ,2023-01-05 01:08:46,-41.4122,175.5153,66.38,76,89,7.34
213,Sterling,US,2023-01-05 01:07:49,39.0062,-77.4286,63.1,87,100,11.5
214,Marang,MY,2023-01-05 01:08:47,5.2056,103.2059,77.0,85,97,8.34
215,Valparaiso,CL,2023-01-05 01:08:47,-33.0393,-71.6273,62.24,82,20,5.75
216,George,ZA,2023-01-05 01:08:48,-33.963,22.4617,58.55,94,100,6.91
217,Palmer,US,2023-01-05 01:08:49,42.1584,-72.3287,48.85,88,100,4.61
218,Ostend,BE,2023-01-05 01:08:50,51.2234,2.9119,52.14,81,100,24.16
219,Iqaluit,CA,2023-01-05 01:08:51,63.7506,-68.5145,-13.27,75,100,34.52
220,Cape Town,ZA,2023-01-05 01:05:00,-33.9258,18.4232,62.11,73,81,13.0
221,Baie-Comeau,CA,2023-01-05 01:08:52,49.2168,-68.1489,9.97,67,68,11.61
222,Yatou,CN,2023-01-05 01:05:13,37.15,122.3833,33.3,75,4,1.63
223,Munster,DE,2023-01-05 01:05:05,51.9624,7.6257,53.22,87,100,1.99
224,Dinard,FR,2023-01-05 01:08:53,48.6314,-2.0614,55.78,92,100,9.22
225,Aswan,EG,2023-01-05 01:08:53,24.0934,32.907,55.4,67,0,7.72
226,Padang,ID,2023-01-05 01:08:54,-0.9492,100.3543,77.05,82,100,1.57
227,Carupano,VE,2023-01-05 01:08:55,10.6678,-63.2585,74.16,89,99,8.66
228,Yulara,AU,2023-01-05 01:09:25,-25.2406,130.9889,81.5,31,7,17.2
229,Axim,GH,2023-01-05 01:09:26,4.8699,-2.2405,78.12,79,100,4.36
230,Wadi Musa,JO,2023-01-05 01:09:26,30.3222,35.4793,42.71,93,59,7.11
231,Anadyr,RU,2023-01-05 01:09:27,64.75,177.4833,-8.9,84,100,8.95
232,Nyzhnya Duvanka,UA,2023-01-05 01:09:28,49.5846,38.1743,30.13,86,59,6.62
233,Coruripe,BR,2023-01-05 01:09:29,-10.1256,-36.1756,77.13,83,41,10.85
234,Jurm,AF,2023-01-05 01:09:29,36.8648,70.8342,28.0,39,0,8.16
235,San Patricio,US,2023-01-05 01:09:30,28.017,-97.5169,68.09,36,7,2.48
236,Fort Nelson,CA,2023-01-05 01:09:31,58.8053,-122.7002,4.95,92,37,0.34
237,Scarborough,GB,2023-01-05 01:04:32,54.2797,-0.4044,49.57,85,17,3.0
238,Silver City,US,2023-01-05 01:09:32,32.7701,-108.2803,40.66,78,0,6.91
239,Helong,CN,2023-01-05 01:09:32,42.5397,128.9972,16.95,56,0,5.32
240,Mount Gambier,AU,2023-01-05 01:09:33,-37.8333,140.7667,68.05,48,3,10.54
241,Itaqui,BR,2023-01-05 01:09:34,-29.1253,-56.5531,75.31,27,0,9.89
242,Leeds,GB,2023-01-05 01:06:21,53.7964,-1.5477,51.3,82,100,1.01
243,Ambon,ID,2023-01-05 01:09:35,-3.6954,128.1814,84.31,71,100,9.42
244,Walvis Bay,NA,2023-01-05 01:09:36,-22.9575,14.5053,64.09,87,32,12.82
245,Podgornoye,RU,2023-01-05 01:09:36,51.735,39.1496,32.22,69,100,13.42
246,Hasaki,JP,2023-01-05 01:09:37,35.7333,140.8333,43.2,37,0,16.87
247,Gravdal,NO,2023-01-05 01:09:38,68.1214,13.5031,27.39,63,0,11.7
248,Alofi,NU,2023-01-05 01:09:38,-19.0595,-169.9187,78.8,67,100,13.78
249,Te Anau,NZ,2023-01-05 01:09:39,-45.4167,167.7167,61.68,85,100,2.15
250,Bontang,ID,2023-01-05 01:09:39,0.1333,117.5,79.32,80,100,2.95
251,Chokurdakh,RU,2023-01-05 01:09:40,70.6333,147.9167,-48.48,100,65,0.92
252,Ancud,CL,2023-01-05 01:09:41,-41.8697,-73.8203,56.88,91,2,3.44
253,Marawi,PH,2023-01-05 01:09:41,7.9986,124.2928,75.07,80,96,1.1
254,Oranjemund,NA,2023-01-05 01:09:42,-28.55,16.4333,60.85,88,12,15.21
255,Alice Springs,AU,2023-01-05 01:09:42,-23.7,133.8833,72.95,68,100,12.66
256,Darhan,MN,2023-01-05 01:09:43,49.4867,105.9228,-14.19,98,100,2.77
257,Alto Araguaia,BR,2023-01-05 01:09:43,-17.3147,-53.2153,68.74,97,100,7.07
258,Pevek,RU,2023-01-05 01:09:44,69.7008,170.3133,-30.1,95,100,5.53
259,Saldanha,ZA,2023-01-05 01:09:45,-33.0117,17.9442,61.11,73,0,28.48
260,Buin,CL,2023-01-05 01:09:45,-33.7333,-70.75,80.42,57,43,3.94
261,Quelimane,MZ,2023-01-05 01:09:46,-17.8786,36.8883,73.33,93,5,4.27
262,Hede,CN,2023-01-05 01:09:46,33.7681,120.2517,42.15,53,6,3.71
263,Balabac,PH,2023-01-05 01:09:47,7.9868,117.0645,79.27,85,100,11.43
264,Vardo,NO,2023-01-05 01:09:47,70.3705,31.1107,30.18,74,100,6.91
265,Ahipara,NZ,2023-01-05 01:09:48,-35.1667,173.1667,75.79,73,34,8.39
266,Saint-Philippe,RE,2023-01-05 01:09:49,-21.3585,55.7679,74.79,81,46,10.54
267,Ushtobe,KZ,2023-01-05 01:09:52,45.2514,77.9838,36.5,77,100,11.48
268,Vredendal,ZA,2023-01-05 01:09:52,-31.6683,18.5012,59.23,76,0,14.47
269,Port Lincoln,AU,2023-01-05 01:09:53,-34.7333,135.8667,64.76,57,83,15.57
