,City,Country,Max Temp,Lat,Lng,Hotel Name
131,Tautira,PF,80.83,-17.7333,-149.15,No hotel found
139,Panama City,PA,78.75,8.9936,-79.5197,Hostal Familiar Carmencita
148,Kalmunai,LK,78.31,7.4167,81.8167,Saji new food
149,Cockburn Town,TC,78.08,21.4612,-71.1419,The Salt Raker Inn
162,Souillac,MU,77.38,-20.5167,57.5167,Hotel SkylineInn
171,Makakilo City,US,80.35,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
172,Eydhafushi,MV,80.37,5.1033,73.0708,No hotel found
178,Noumea,NC,85.98,-22.2763,166.4572,Hotel Gondwana
181,Isabela,PH,86.05,6.7085,121.9711,No hotel found
182,Patos,BR,78.24,-7.0244,-37.28,Hotel Zurique
189,Alofi,NU,84.09,-19.0595,-169.9187,No hotel found
190,Buala,SB,84.9,-8.145,159.5921,No hotel found
200,Kayankulam,IN,81.97,9.1833,76.5,Marvel
207,Dabakala,CI,75.34,8.3667,-4.4333,Hôtel Résidence les villages
211,Kokoda,PG,87.98,-8.8785,147.7407,No hotel found
225,Jacqueville,CI,79.18,5.2052,-4.4146,Complexe hôtelier Grand Roi
232,Labuan,MY,79.16,5.2767,115.2417,Labuan Avenue Hotel
245,Benjamin Constant,BR,75.33,-4.3831,-70.0311,No hotel found
247,Payo,ID,86.07,-3.7508,103.6372,No hotel found
248,Dhidhdhoo,MV,80.82,6.8833,73.1,No hotel found
258,Bayeux,BR,79.43,-7.125,-34.9322,Hotel Globo
262,Neiafu,TO,84.88,-18.65,-173.9833,Port Wine Guest House
